0.0 0
0.0022056 4294967295
ssthresh 0.425493: 14280
ssthresh 0.426123: 14280
ssthresh 0.426754: 14280
ssthresh 0.427384: 14280
ssthresh 0.428014: 14280
ssthresh 0.428645: 14280
ssthresh 0.429275: 14280
ssthresh 0.429906: 14280
ssthresh 0.430536: 14280
ssthresh 0.431166: 14280
ssthresh 0.431797: 14280
ssthresh 0.432427: 14280
ssthresh 0.433058: 14280
ssthresh 0.433688: 14280
ssthresh 0.434318: 14280
ssthresh 0.434949: 14280
ssthresh 0.435579: 14280
ssthresh 0.43621: 14280
ssthresh 0.43684: 14280
ssthresh 0.43747: 14280
ssthresh 0.438101: 14280
ssthresh 0.438731: 14280
ssthresh 0.439362: 14280
ssthresh 0.439992: 14280
ssthresh 0.440622: 14280
ssthresh 0.441253: 14280
ssthresh 0.441883: 14280
ssthresh 0.442514: 14280
ssthresh 0.443144: 14280
ssthresh 0.443774: 14280
ssthresh 0.444405: 14280
ssthresh 0.445035: 14280
ssthresh 0.445666: 14280
ssthresh 0.446296: 14280
ssthresh 0.446926: 14280
ssthresh 0.447557: 14280
ssthresh 0.448187: 14280
ssthresh 0.448818: 14280
ssthresh 0.449448: 14280
ssthresh 0.450078: 14280
ssthresh 0.450709: 14280
ssthresh 0.451339: 14280
ssthresh 0.45197: 14280
ssthresh 0.4526: 14280
ssthresh 0.45323: 14280
ssthresh 0.453861: 14280
ssthresh 0.454491: 14280
ssthresh 0.455122: 14280
ssthresh 0.455752: 14280
ssthresh 0.456382: 14280
ssthresh 0.457013: 14280
ssthresh 0.457643: 14280
ssthresh 0.458274: 14280
ssthresh 0.458904: 14280
ssthresh 0.459534: 14280
ssthresh 0.460165: 14280
ssthresh 0.460795: 14280
ssthresh 0.461426: 14280
ssthresh 0.462056: 14280
ssthresh 0.462686: 14280
ssthresh 0.463317: 14280
ssthresh 0.463947: 14280
ssthresh 0.464578: 14280
ssthresh 0.465208: 14280
ssthresh 0.465838: 14280
ssthresh 0.466469: 14280
ssthresh 0.467099: 14280
ssthresh 0.46773: 14280
ssthresh 0.46836: 14280
ssthresh 0.46899: 14280
ssthresh 0.469621: 14280
ssthresh 0.470251: 14280
ssthresh 0.470882: 14280
ssthresh 0.471512: 14280
ssthresh 0.472142: 14280
ssthresh 0.472773: 14280
ssthresh 0.473403: 14280
ssthresh 0.474034: 14280
ssthresh 0.474664: 14280
ssthresh 0.475294: 14280
ssthresh 0.475925: 14280
ssthresh 0.476555: 14280
ssthresh 0.477186: 14280
ssthresh 0.477816: 14280
ssthresh 0.478446: 14280
ssthresh 0.479077: 14280
ssthresh 0.479707: 14280
ssthresh 0.480338: 14280
ssthresh 0.480968: 14280
ssthresh 0.481598: 14280
ssthresh 0.482229: 14280
ssthresh 0.482859: 14280
ssthresh 0.48349: 14280
ssthresh 0.48412: 14280
ssthresh 0.48475: 14280
ssthresh 0.485381: 14280
ssthresh 0.486011: 14280
ssthresh 0.486642: 14280
ssthresh 0.487272: 14280
ssthresh 0.487902: 14280
ssthresh 0.488533: 14280
ssthresh 0.489163: 14280
ssthresh 0.489794: 14280
ssthresh 0.490424: 14280
ssthresh 0.491054: 14280
ssthresh 0.491685: 14280
ssthresh 0.492315: 14280
ssthresh 0.492946: 14280
ssthresh 0.493576: 14280
ssthresh 0.494206: 14280
ssthresh 0.494837: 14280
ssthresh 0.495467: 14280
ssthresh 0.496098: 14280
ssthresh 0.496728: 14280
ssthresh 0.497358: 14280
ssthresh 0.497989: 14280
ssthresh 0.498619: 14280
ssthresh 0.49925: 14280
ssthresh 0.49988: 14280
ssthresh 0.50051: 14280
ssthresh 0.501141: 14280
ssthresh 0.501771: 14280
ssthresh 0.502402: 14280
ssthresh 0.503032: 14280
ssthresh 0.503662: 14280
ssthresh 0.504293: 14280
ssthresh 0.504923: 14280
ssthresh 0.505554: 14280
ssthresh 0.506184: 14280
ssthresh 0.506814: 14280
ssthresh 0.507445: 14280
ssthresh 0.508075: 14280
ssthresh 0.508706: 14280
ssthresh 0.509336: 14280
ssthresh 0.509966: 14280
ssthresh 0.510597: 14280
ssthresh 0.511227: 14280
ssthresh 0.511858: 14280
ssthresh 0.512488: 14280
ssthresh 0.513118: 14280
ssthresh 0.513749: 14280
ssthresh 0.514379: 14280
ssthresh 0.51501: 14280
ssthresh 0.51564: 14280
ssthresh 0.51627: 14280
ssthresh 0.516901: 14280
ssthresh 0.517531: 14280
ssthresh 0.518162: 14280
ssthresh 0.518792: 14280
ssthresh 0.519422: 14280
ssthresh 0.520053: 14280
ssthresh 0.520683: 14280
ssthresh 0.521314: 14280
ssthresh 0.521944: 14280
ssthresh 0.522574: 14280
ssthresh 0.523205: 14280
ssthresh 0.523835: 14280
ssthresh 0.524466: 14280
ssthresh 0.525096: 14280
ssthresh 0.525726: 14280
ssthresh 0.526357: 14280
ssthresh 0.526987: 14280
ssthresh 0.527618: 14280
ssthresh 0.528248: 14280
ssthresh 0.528878: 14280
ssthresh 0.529509: 14280
ssthresh 0.530139: 14280
ssthresh 0.53077: 14280
ssthresh 0.5314: 14280
