0.0 0
cwnd 0.496098: 17049
cwnd 0.496728: 17055
cwnd 0.497358: 17061
cwnd 0.497989: 17067
cwnd 0.498619: 17073
cwnd 0.49925: 17079
cwnd 0.49988: 17085
cwnd 0.50051: 17091
cwnd 0.501141: 17097
cwnd 0.501771: 17103
cwnd 0.502402: 17109
cwnd 0.503032: 17115
cwnd 0.503662: 17121
cwnd 0.504293: 17127
cwnd 0.504923: 17133
cwnd 0.505554: 17139
cwnd 0.506184: 17145
cwnd 0.506814: 17151
cwnd 0.507445: 17157
cwnd 0.508075: 17163
cwnd 0.508706: 17169
cwnd 0.509336: 17175
cwnd 0.509966: 17181
cwnd 0.510597: 17187
cwnd 0.511227: 17193
cwnd 0.511858: 17199
cwnd 0.512488: 17205
cwnd 0.513118: 17211
cwnd 0.513749: 17217
cwnd 0.514379: 17223
cwnd 0.51501: 17229
cwnd 0.51564: 17235
cwnd 0.51627: 17241
cwnd 0.516901: 17247
cwnd 0.517531: 17253
cwnd 0.518162: 17259
cwnd 0.518792: 17265
cwnd 0.519422: 17271
cwnd 0.520053: 17277
cwnd 0.520683: 17283
cwnd 0.521314: 17289
cwnd 0.521944: 17295
cwnd 0.522574: 17301
cwnd 0.523205: 17307
cwnd 0.523835: 17313
cwnd 0.524466: 17319
cwnd 0.525096: 17325
cwnd 0.525726: 17331
cwnd 0.526357: 17337
cwnd 0.526987: 17343
cwnd 0.527618: 17349
cwnd 0.528248: 17355
cwnd 0.528878: 17361
cwnd 0.529509: 17367
cwnd 0.530139: 17373
cwnd 0.53077: 17379
cwnd 0.5314: 17385
cwnd 0.53203: 17391
cwnd 0.532661: 17397
cwnd 0.533291: 17403
cwnd 0.533922: 17409
cwnd 0.534552: 17415
cwnd 0.535182: 17421
cwnd 0.535813: 17427
cwnd 0.536443: 17433
cwnd 0.537074: 17439
cwnd 0.537704: 17445
cwnd 0.538334: 17451
cwnd 0.538965: 17457
cwnd 0.539595: 17463
cwnd 0.540226: 17469
cwnd 0.540856: 17475
cwnd 0.541486: 17481
cwnd 0.542117: 17487
cwnd 0.542747: 17493
cwnd 0.543378: 17499
cwnd 0.544008: 17505
cwnd 0.544638: 17511
cwnd 0.545269: 17517
cwnd 0.545899: 17523
cwnd 0.54653: 17529
cwnd 0.54716: 17535
cwnd 0.54779: 17541
cwnd 0.548421: 17547
cwnd 0.549051: 17553
cwnd 0.549682: 17559
cwnd 0.550312: 17565
cwnd 0.550942: 17571
cwnd 0.551573: 17577
cwnd 0.552203: 17583
cwnd 0.552834: 17589
cwnd 0.553464: 17595
cwnd 0.554094: 17601
cwnd 0.554725: 17607
cwnd 0.555355: 17613
cwnd 0.555986: 17619
cwnd 0.556616: 17625
cwnd 0.557246: 17631
cwnd 0.557877: 17637
cwnd 0.558507: 17643
cwnd 0.559138: 17649
cwnd 0.559768: 17655
cwnd 0.560398: 17661
cwnd 0.561029: 17667
cwnd 0.561659: 17673
cwnd 0.56229: 17679
cwnd 0.56292: 17685
cwnd 0.56355: 17691
cwnd 0.564181: 17697
cwnd 0.564811: 17703
cwnd 0.565442: 17709
cwnd 0.566072: 17715
cwnd 0.566702: 17721
cwnd 0.567333: 17727
cwnd 0.567963: 17733
cwnd 0.568594: 17739
cwnd 0.569224: 17745
cwnd 0.569854: 17751
cwnd 0.570485: 17757
cwnd 0.571115: 17763
cwnd 0.571746: 17769
cwnd 0.572376: 17775
cwnd 0.573006: 17781
cwnd 0.573637: 17787
cwnd 0.574267: 17793
cwnd 0.574898: 17799
cwnd 0.575528: 17805
cwnd 0.576158: 17811
cwnd 0.576789: 17817
cwnd 0.577419: 17823
cwnd 0.57805: 17829
cwnd 0.57868: 17835
cwnd 0.57931: 17841
cwnd 0.579941: 17847
cwnd 0.580571: 17853
cwnd 0.581202: 17859
cwnd 0.581832: 17865
cwnd 0.582462: 17871
cwnd 0.583093: 17877
cwnd 0.583723: 17883
cwnd 0.584354: 17889
cwnd 0.584984: 17895
cwnd 0.585614: 17901
cwnd 0.586245: 17907
cwnd 0.586875: 17913
cwnd 0.587506: 17919
cwnd 0.588136: 17925
cwnd 0.588766: 17931
cwnd 0.589397: 17937
cwnd 0.590027: 17943
cwnd 0.590658: 17949
cwnd 0.591288: 17955
cwnd 0.591918: 17961
cwnd 0.592549: 17967
cwnd 0.593179: 17973
cwnd 0.59381: 17979
cwnd 0.59444: 17985
cwnd 0.59507: 17991
cwnd 0.595701: 17997
cwnd 0.596331: 18003
cwnd 0.596962: 18009
cwnd 0.597592: 18015
cwnd 0.598222: 18021
cwnd 0.598853: 18027
cwnd 0.599483: 18033
cwnd 0.600114: 18039
cwnd 0.600744: 18045
cwnd 0.601374: 18051
cwnd 0.602005: 18057
cwnd 0.602635: 18063
cwnd 0.603266: 18069
cwnd 0.603896: 18075
cwnd 0.604526: 18081
cwnd 0.605157: 18087
cwnd 0.605787: 18093
